Title,Read,Saga,Saga number,Wishlist,Author,Language,Cover,Images,Rating,Review,Annotations
The Restaurant at the End of the Universe,READ,Hitchhiker’s Guide to the Galaxy,2,OBTAINED,Douglas Adams,ENG,,,,,
"Life, the Universe and Everything",READ,Hitchhiker’s Guide to the Galaxy,3,OBTAINED,Douglas Adams,ENG,,,,,
"So Long, and Thanks for All the Fish",READ,Hitchhiker’s Guide to the Galaxy,4,OBTAINED,Douglas Adams,ENG,,,,,
Mostly Harmless,UNREAD,Hitchhiker’s Guide to the Galaxy,5,OBTAINED,Douglas Adams,ENG,,,,,
Dirk Gently's Holistic Detective Agency,UNREAD,Dirk Gently,1,OBTAINED,Douglas Adams,ENG,,,,,
The Long Dark Tea-Time of the Soul,UNREAD,Dirk Gently,2,OBTAINED,Douglas Adams,ENG,,,,,
The Salmon of Doubt,UNREAD,,,OBTAINED,Douglas Adams,ENG,,,,,
Balada de pájaros cantores y serpientes,UNREAD,Hunger games,1,OBTAINED,Suzanne Collins,ES,,,,,
Amanecer en la cosecha,UNREAD,Hunger games,2,OBTAINED,Suzanne Collins,ES,,,,,
Los juegos del hambre,READ,Hunger games,3,OBTAINED,Suzanne Collins,ES,,,,,
En llamas,READ,Hunger games,4,OBTAINED,Suzanne Collins,ES,,,,,
Sinsajo,READ,Hunger games,5,OBTAINED,Suzanne Collins,ES,,,,,
El nombre del viento  ,READ,Asesino de Reyes,1,OBTAINED,Patrick Rothfuss,ES,,,,,
La música del silencio,READ,Asesino de Reyes,2,OBTAINED,Patrick Rothfuss,ES,,,,,
El estrecho sendero entre deseos,READ,Asesino de Reyes,3,OBTAINED,Patrick Rothfuss,ES,,,,,
El temor de un hombre sabio ,READ,Asesino de Reyes,4,OBTAINED,Patrick Rothfuss,ES,,,,,
El último deseo,READ,Geralt de Rivia,1,OBTAINED,Andrzej Sapkowski,ES,,,,,
La espada del destino,READ,Geralt de Rivia,2,OBTAINED,Andrzej Sapkowski,ES,,,,,
La sangre de los elfos,READ,Geralt de Rivia,3,OBTAINED,Andrzej Sapkowski,ES,,,,,
Tiempo de odio,READ,Geralt de Rivia,4,OBTAINED,Andrzej Sapkowski,ES,,,,,
Bautismo de fuego,READ,Geralt de Rivia,5,OBTAINED,Andrzej Sapkowski,ES,,,,,
La torre de la golondrina,UNREAD,Geralt de Rivia,6,OBTAINED,Andrzej Sapkowski,ES,,,,,
La dama del lago,UNREAD,Geralt de Rivia,7,OBTAINED,Andrzej Sapkowski,ES,,,,,
Camino sin retorno,UNREAD,Geralt de Rivia,8,OBTAINED,Andrzej Sapkowski,ES,,,,,
Estación de tormentas,UNREAD,Geralt de Rivia,9,OBTAINED,Andrzej Sapkowski,ES,,,,,
Harry Potter and the Philosopher's Stone,UNREAD,Harry Potter,1,OBTAINED,J.K. Rowling,ENG,,,,,
Harry Potter and the Chamber of Secrets,UNREAD,Harry Potter,2,OBTAINED,J.K. Rowling,ENG,,,,,
Harry Potter and the Prisoner of Azkaban,UNREAD,Harry Potter,3,OBTAINED,J.K. Rowling,ENG,,,,,
Harry Potter and the Goblet of Fire,UNREAD,Harry Potter,4,OBTAINED,J.K. Rowling,ENG,,,,,
Harry Potter and the Order of the Phoenix,UNREAD,Harry Potter,5,OBTAINED,J.K. Rowling,ENG,,,,,
Harry Potter and the Half-Blood Prince,UNREAD,Harry Potter,6,OBTAINED,J.K. Rowling,ENG,,,,,
Harry Potter and the Deathly Hallows,UNREAD,Harry Potter,7,OBTAINED,J.K. Rowling,ENG,,,,,
Harry Potter and the Cursed Child,READ,Harry Potter,8,OBTAINED,J.K. Rowling,ENG,,,,,
Fantastic Beasts and Where to Find Them,UNREAD,Fantastic beasts,1,OBTAINED,J.K. Rowling,ENG,,,,,
